CodigoEscola,NomeEscola,Diretoria,Distrito,Nível Socioeconômico (INSE),Indicador de Complexidade de Gestão (ICG),Faixa,IDEP2018,IDEP2019,IDEP2019META,IDEP2020META,IDEP2021META,IDEP2022META,IDEP2023META,Latitude,Longitude
191,EMEF ALIPIO CORREA NETO,BUTANTA,VILA SONIA,3.0,1.0,1.0,5.5,4.9,5.7,5.9,6.1,6.3,6.5,-23.5950563,-46.7321349
264,EMEF SYLVIO HECK ALMIRANTE,SANTO AMARO,PEDREIRA,3.0,1.0,1.0,4.5,4.0,4.7,4.9,5.1,5.4,5.6,-22.7411989,-46.8959302
477,EMEF EDA TEREZINHA CHICA MEDEIROS PROFA,BUTANTA,RAPOSO TAVARES,3.0,1.0,1.0,4.8,4.3,5.0,5.2,5.5,5.7,5.9,-23.5921729,-46.7665401
8842,EMEF SEBASTIAO FRANCISCO O NEGRO,ITAQUERA,PARQUE DO CARMO,3.0,1.0,1.0,4.9,4.8,5.1,5.3,5.5,5.8,6.0,-23.5707667,-46.4765663
10049,EMEF CHICO FALCONE PADRE,SAO MIGUEL,VILA CURUCA,3.0,1.0,1.0,4.6,4.7,4.8,5.0,5.3,5.5,5.7,-23.5097018,-46.4167385
10111,EMEF MARIO SCHONBERG PROF,SANTO AMARO,PEDREIRA,3.0,1.0,1.0,5.0,5.4,5.2,5.4,5.6,5.8,6.0,-22.7411989,-46.8959302
11533,EMEF FRANCISCO DA SILVEIRA BUENO PROF,IPIRANGA,SAO LUCAS,3.0,1.0,1.0,3.7,3.2,4.0,4.2,4.5,4.8,5.1,-23.5865182,-46.535209
12688,EMEF ULYSSES DA SILVEIRA GUIMARAES,CAPELA DO SOCORRO,PARELHEIROS,3.0,1.0,1.0,4.7,4.9,5.0,5.2,5.4,5.6,5.9,-23.8029124,-46.7344591
14583,EMEF FLAVIO AUGUSTO ROSA PROF,SAO MIGUEL,JARDIM HELENA,3.0,1.0,1.0,4.9,4.0,5.1,5.3,5.5,5.7,6.0,-23.4794677,-46.4212929
15024,EMEF CAIO SERGIO POMPEU DE TOLEDO,GUAIANASES,CIDADE TIRADENTES,3.0,1.0,1.0,4.4,3.8,4.7,4.9,5.1,5.4,5.6,-23.6036926,-46.4001216
16497,EMEF FERNANDO GRACIOSO,PIRITUBA,PERUS,3.0,1.0,1.0,4.6,4.1,4.8,5.1,5.3,5.5,5.7,-23.4070915,-46.7584771
